accession,gene_name,index
NP_032786.1,Ogn,187
NP_033991.1,Cdc42,188
XP_017168650.1,NA,189
XP_006503970.1,Ablim2,190
NP_033529.3,Vcp,191
XP_006526497.1,Loxhd1,192
XP_006507657.1,Picalm,193
XP_011245129.1,NA,194
NP_079659.1,Necap2,195
XP_011248820.1,Atp1a3,196
NP_031632.2,Car3,197
XP_006502219.1,NA,198
NP_038743.1,Cops5,199
XP_006499076.1,Raly,200
NP_659190.3,Map7d1,201
NP_722476.1,Pygb,202
NP_001272436.1,Cops2,203
XP_017169807.1; NP_034985.2; NP_796343.2,Myh1,204
NP_057925.1,Cul3,205
NP_082727.1,Larp1,206
NP_808385.2,Krt90,207
NP_001303251.1; NP_001129541.2,Ldhb,208
XP_006527821.1; NP_031859.1,Bgn,209
NP_598710.1,Ptov1,210
XP_017177763.1,Or52d1,211
NP_034901.2,Matr3,212
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_001034634.2; NP_001074719.1; XP_017171330.1,Myh1,213
XP_006534273.1,Spag9,214
NP_001034634.2,Myh2,215
XP_006502829.1,Fhl3,216
XP_017175979.1,NA,217
NP_032405.3,Kpnb1,218
NP_647458.1,Ugp2,219
XP_011248046.1,Cacna2d1,220
NP_663553.1,Ube2m,221
XP_006509067.1,NA,222
NP_598811.3,Rab15,223
XP_011240975.1,NA,224
NP_082221.2,Csl,225
XP_017169807.1; NP_034985.2; NP_001034634.2; NP_001074719.1,Myh1,226
NP_001104610.1,Lrrc10b,227
NP_001020535.1,Rtn2,228
NP_579941.2,Myoz3,229
NP_035995.1,Pcbp1,230
NP_001265004.1,Farsb,231
XP_006508065.1,Trim72,232
NP_033475.1; NP_035783.1; NP_033473.1,Tuba3b,233
NP_031736.1,Ckm,234
NP_666119.1,Col6a2,235
XP_006524475.1,Rasal3,236
XP_006502160.1,Col24a1,237
NP_032223.2,H1f0,238
NP_084514.2,Dync1h1,239
XP_006509667.1,Upf1,240
XP_006532807.1,Gps1,241
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_001034634.2; XP_017171330.1; NP_796343.2,Myh1,242
XP_006500266.1,Zfyve19,243
XP_011237010.1,Gmppa,244
NP_766601.2,Map1s,245
XP_006511315.1,Ccdc33,246
XP_011248884.1,Ehd2,247
NP_032731.1,Nme2,248
NP_683753.1,Gipc3,249
NP_080234.2,Cand2,250
NP_083847.1,Kti12,251
NP_034627.3,Idh1,252
XP_006539551.1,Capns1,253
XP_006525604.1,Camk2a,254
NP_001074564.1,1700009N14Rik,255
XP_006532475.1; NP_034985.2,Myh3,256
NP_076114.2,Plbd2,257
NP_034985.2; NP_796343.2,Myh4,258
NP_034985.2; NP_001034634.2; NP_001074719.1; NP_796343.2,Myh4,259
NP_001303296.1,Map2k4,260
NP_033477.2,Tubb4a,261
NP_031664.3,Cct7,262
NP_031933.1,Eef2,263
NP_080678.1,Atg3,264
NP_705736.1,Bcl2l13,265
XP_006507272.1,Aldoa,266
XP_017175847.1,NA,267
XP_017175032.1,Dennd4b,268
XP_006514407.1,Ube2n,269
NP_032550.2,Lum,270
NP_033023.1,Rab11b,271
XP_006500743.1,NA,272
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_001034634.2; NP_796343.2,Myh1,273
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_001034634.2,Myh1,274
NP_444473.1,Prss1,275
NP_034985.2; NP_001074719.1; XP_017171330.1,Myh4,276
XP_006501010.1,NA,277
XP_006507331.1,NA,278
NP_067499.2,Nampt,279
XP_017177600.1,Tnnt1,280
NP_033254.2,Snta1,281
XP_017169807.1; NP_034985.2; NP_001034634.2; NP_001074719.1; NP_796343.2,Myh1,282
NP_065594.2,Park7,283
XP_017169807.1; NP_034985.2; NP_001034634.2; XP_017171330.1,Myh1,284
XP_006511982.1,NA,285
NP_666807.1,Or2ag19,286
NP_033420.1,Tnnc2,287
NP_038484.1,Actn3,288
NP_065593.2,Plin4,289
NP_038891.4,Bag3,290
NP_033784.2,Alb,291
NP_598428.2,Pdk2,292
NP_079924.2,Farsa,293
NP_035040.1,Nefl,294
NP_033970.3,Cct8,295
NP_035354.1; NP_722476.1,Pygm,296
NP_056592.2,Igbp1b,297
NP_035783.1,Tuba1a,298
NP_062780.2,Vapb,299
NP_031816.2,Smc3,300
NP_034985.2; XP_017171330.1; NP_796343.2,Myh4,301
NP_666228.1,Tubb4b,302
NP_031861.2,Dctn1,303
NP_031506.1,Arf5,304
NP_032954.1,Map2k3,305
NP_031932.1,Eef1a2,306
NP_778178.3,Pgm5,307
NP_034610.1; NP_032328.2,Hsp90aa1,308
NP_835509.2,H2bc22,309
XP_006511403.1,Tipin,310
NP_033822.2,Apoa1,311
XP_017177364.1,Gm6749,312
NP_001019789.1,Xirp2,313
NP_033477.2; NP_666228.1,Tubb4a,314
NP_001157720.1,Tpm1,315
XP_006503104.1,NA,316
XP_017167703.1,NA,317
NP_033473.1,Tuba4a,318
XP_017169807.1; NP_034985.2,Myh1,319
NP_064417.1,NA,320
XP_011236698.1,Jph1,321
XP_017175407.1,Prdm2,322
XP_017177161.1,NA,323
XP_006538588.2; XP_006532224.1,Eno3,324
NP_031502.1,Arf1,325
NP_848795.3,Unc45b,326
NP_663531.1,Tardbp,327
NP_080971.2,Etfb,328
NP_536712.2,Ppp1r3a,329
XP_006530174.1,Acacb,330
NP_034989.1,Myl3,331
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_001034634.2; NP_071855.2; NP_001074719.1; XP_017171330.1; NP_796343.2,Myh1,332
NP_034985.2; NP_001034634.2; NP_796343.2,Myh4,333
XP_006513959.1,Metap2,334
NP_031447.1,Adssl1,335
NP_062635.2,Ykt6,336
NP_001108069.1,Ehbp1l1,337
NP_001107560.1,Pdlim7,338
XP_011238284.1,Prkab2,339
NP_796216.2,Pptc7,340
NP_058556.1,Actr1a,341
XP_006539751.1,NA,342
NP_061269.1,Eif3i,343
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_796343.2,Myh1,344
NP_035354.1,Pygm,345
NP_001074556.1,Klhl41,346
XP_011240439.1,Prag1,347
NP_653117.1,Tmem38a,348
NP_032045.1,Fkbp1a,349
NP_081767.2,Rragd,350
NP_032257.3,Hdgf,351
XP_006532224.1,Eno3,352
NP_001153599.1,Smyd1,353
NP_080390.1,Eif2s1,354
XP_006511388.1,NA,355
