accession,gene_name,index
XP_006523995.1,Slc8a1,783
NP_034963.2,Msn,784
XP_006516007.1,NA,785
NP_077785.2,Abhd12,786
NP_082289.2,Endod1,787
XP_006518087.1,Cadps,788
NP_058653.1,Hmgn2,789
XP_017169518.1,NA,790
NP_796317.2,Camk1d,791
NP_033475.1; NP_059075.1; NP_035783.1; NP_033473.1,Tuba3b,792
XP_006507060.1,C2cd5,793
XP_006513305.1,Hk1,794
NP_033053.2,Rasgrf2,795
NP_703187.2,Rtn1,796
NP_796301.2,Wwp1,797
XP_006532599.1,Bcas3,798
NP_035783.1,Tuba1a,799
NP_683748.1,Slc8a2,800
XP_006523937.1,Ptprs,801
NP_032252.1,Hcn2,802
NP_941015.2,Ap2s1,803
XP_006515133.1,Dgkb,804
NP_032257.3,Hdgf,805
XP_006520475.1,Plxnb2,806
NP_038744.1,G3bp1,807
NP_083424.1,Tmx4,808
NP_780503.2,Nucks1,809
XP_006516872.1,Hecw1,810
XP_006533939.1; NP_001300646.1; XP_006506892.1,Hnrnph2,811
NP_001230698.1,Cdc42,812
XP_006496813.1,Rasal2,813
XP_006506530.1,NA,814
NP_031864.2,Ddost,815
NP_038706.1,Surf2,816
NP_082253.1,Apmap,817
XP_006507541.1,Sh2b1,818
XP_006515086.1,Itsn2,819
NP_064314.2,Ranbp9,820
XP_006506211.1,NA,821
NP_938046.2,Nup188,822
NP_001273649.1,Tsc2,823
NP_001158277.1,Thsd7a,824
XP_006516423.1,Atg2b,825
NP_082568.1,Ppme1,826
NP_001157094.1,Prepl,827
XP_017177113.1,Dgki,828
NP_082724.1,Cenpv,829
XP_006525587.1,Fam210a,830
NP_663427.2,Rasa1,831
XP_006505793.1,Pde1c,832
NP_061359.2,Ywhag,833
NP_034403.1; NP_032138.3,Gdi1,834
XP_017168231.1,Carmil2,835
XP_011240696.1,Ube4a,836
NP_653105.3,Tbc1d10b,837
XP_017173919.1,NA,838
NP_001291932.1,Rab5c,839
XP_006538286.1,Ubap2,840
XP_006534046.1,Cltc,841
XP_006524219.1,NA,842
NP_036004.2,Psmc4,843
XP_006501136.1; NP_034851.2; NP_034852.2,Lmna,844
XP_011248858.1,NA,845
XP_006529374.1,Hdac4,846
NP_059503.2,Rragc,847
NP_062312.3,Gabbr1,848
NP_950186.3; NP_001129532.1,Dpp10,849
NP_058578.3,Sart1,850
NP_032907.1,Plxna1,851
XP_011240613.1,Crtc1,852
XP_006535199.1; NP_067505.2; NP_001229307.1,Slc4a4,853
NP_031509.1,Rhob,854
NP_062608.2,Tspan7,855
XP_006502834.1,NA,856
NP_080890.1,Ndufa5,857
NP_080479.2,Ahi1,858
NP_954670.2,Fam171a2,859
NP_035652.2,Syngr3,860
NP_033898.1,Bsg,861
XP_006497712.2,Dnm1,862
XP_006510923.1,Pml,863
NP_082628.3,Pgm3,864
XP_006513447.1,Rab5b,865
NP_084333.1,Trappc6b,866
XP_006535770.1; NP_035977.2,Dnajb6,867
XP_006526852.1,NA,868
XP_006501383.1,Spg20,869
XP_006510497.1; XP_006510268.1; XP_006510498.1,Opcml,870
XP_006531852.1,NA,871
NP_694769.2,Pacs1,872
XP_006498600.1,Dgkz,873
NP_032470.3,Kif3b,874
XP_006504723.1,Prkar1b,875
XP_006508885.1,NA,876
NP_031520.1,Ass1,877
NP_075633.2,Nono,878
NP_001103465.1,Eftud2,879
NP_937806.1,Rab35,880
XP_006497672.1,Abca2,881
XP_006524213.1,Plcl2,882
NP_663553.1,Ube2m,883
NP_031933.1; NP_001103465.1,Eef2,884
XP_011243195.1,Mycbp2,885
NP_848831.2,Tnpo1,886
XP_006518407.1,Dock9,887
NP_598709.1,Psip1,888
NP_001334382.1,Vps29,889
XP_006513224.1,NA,890
XP_006515829.1,Cep170b,891
NP_666071.2,Fam91a1,892
XP_006512138.1,Plxnb1,893
NP_080441.1,Slc25a46,894
NP_001156994.1,Emcn,895
XP_006509791.1,NA,896
XP_006525531.1,Synpo,897
NP_666929.2,Or6n2,898
NP_062408.2,Sh3gl2,899
XP_006513344.1,Zbtb7a,900
NP_031927.2,S1pr1,901
NP_079827.2,NA,902
NP_001074512.1,Ptpn23,903
XP_006515481.1,Mta1,904
XP_006518088.1,NA,905
NP_001098715.1,Pcdh19,906
XP_011246340.1,Atp2b4,907
NP_080276.2,Psmd9,908
XP_006503970.1,Ablim2,909
NP_031477.1,Slc25a5,910
XP_006533823.1,NA,911
XP_006511388.1,NA,912
NP_033006.2,Ptpra,913
NP_112442.2; NP_034608.2,Hspa8,914
XP_017172247.1,NA,915
XP_006496009.1,Ino80d,916
NP_032881.1,Prkcb,917
XP_006534125.1,Nufip2,918
XP_006510704.1; NP_058587.1,Ppp2r1a,919
XP_011249285.1,NA,920
NP_032880.1; NP_035230.1,Prkaca,921
NP_034537.2; XP_006499126.1; XP_006512602.1,Hck,922
NP_033482.1,Ube2l3,923
NP_032326.3,Hspa4,924
XP_006520345.2,Cyb5r3,925
XP_017172050.1,NA,926
NP_775603.2,Klhdc7a,927
NP_035354.1; NP_722476.1,Pygm,928
NP_001019795.1,Cdkl5,929
NP_062631.1,Hsd17b12,930
NP_038920.2,Pcsk1n,931
XP_006504832.1,NA,932
NP_780612.2,Mlec,933
NP_001277556.1,Atp4a,934
XP_017173957.1,NA,935
NP_077779.2,Ppp3r1,936
NP_035869.1,Ywhaq,937
NP_803126.1; XP_006518557.1; NP_001333564.1,Camk2a,938
XP_011246487.1,Rph3a,939
NP_080717.2,Pef1,940
XP_006536280.1,NA,941
NP_038486.2,Add2,942
XP_006538588.2; XP_006505566.1,NA,943
XP_006505343.1,NA,944
NP_079873.1,Ndufb3,945
NP_032475.2,Kif5c,946
NP_033265.4,Sp4,947
XP_006495819.1; XP_006495817.1,Map2,948
XP_006504108.1,NA,949
NP_001288283.1,Apod,950
NP_083852.1,Rab1b,951
NP_001035789.1,Mtmr7,952
XP_017172840.1,NA,953
XP_006534831.1,NA,954
NP_001318043.1,Aldh3a2,955
XP_011246712.1,NA,956
NP_598462.1,Prpf6,957
XP_006508904.2; NP_690014.2,NA,958
XP_006499090.1,Scn1a,959
NP_062640.2,Syncrip,960
XP_006514109.1,NA,961
XP_006514078.1; XP_011246340.1,Atp2b4,962
XP_006513779.1,Agpat3,963
NP_038587.2,Hsph1,964
NP_032461.2,Kcns1,965
XP_006506174.1,Iqsec3,966
NP_032755.2,Ctnnd2,967
XP_006509206.1,Tacc1,968
XP_006521871.1,NA,969
NP_056601.1,H1f2,970
XP_011240798.1,Rnf214,971
NP_001157178.1,Fbxo6,972
XP_006509734.1,Slc27a1,973
NP_035533.1,Slc4a1,974
NP_808568.1,Hapln4,975
XP_006530263.1,Ppp1cc,976
NP_079824.2,Tbcb,977
NP_001157135.1,Rab6a,978
NP_001106958.1,Septin9,979
XP_006509666.1,NA,980
XP_006516533.1,Wdr37,981
NP_001280551.1,Ppp3ca,982
NP_001186065.1,Macf1,983
XP_006532543.1,Per1,984
NP_001277674.1,Nckap1,985
NP_542122.1,Plpp3,986
NP_058616.1,Atp6v0a1,987
XP_017170323.1; NP_001258467.1,Myh10,988
XP_006518977.1,Farp1,989
NP_034253.3,Eif3a,990
NP_033175.1,Glg1,991
XP_017171216.1,NA,992
XP_006509178.1,NA,993
NP_032933.1,Ppia,994
XP_006496740.2,NA,995
NP_001107596.1,Dab2ip,996
XP_006496938.1,Rabgap1l,997
XP_006522201.1,Usp7,998
NP_001191094.1,Rapgef4,999
XP_017170819.1,NA,1000
XP_006500036.1,NA,1001
XP_011240975.1,NA,1002
NP_001159745.1,Cspg5,1003
NP_780566.1,Crbn,1004
NP_033247.1,Snca,1005
NP_001297770.1,Cadm1,1006
NP_080163.1; XP_006513447.1; NP_001291932.1,Rab5a,1007
XP_006509667.1,Upf1,1008
NP_083638.1,Chmp4b,1009
XP_006534321.1,Ap2b1,1010
NP_035650.2,Sdc3,1011
XP_006511697.1,Bsn,1012
NP_444305.2,Rheb,1013
XP_006513501.1,Diras1,1014
XP_006523666.1; XP_006523669.1; XP_006498771.1; XP_006512569.1,Epb41l1,1015
XP_006520694.1,Prph,1016
NP_033787.2; XP_006507272.1,Aldoc,1017
XP_011245331.1,Trappc8,1018
XP_006516889.1,Iars,1019
NP_892038.2,Slc17a7,1020
XP_006502211.1,Hapln2,1021
NP_001003934.1,Rtn3,1022
XP_017172628.1; XP_006505045.1,Dync1i1,1023
NP_001103970.1,Canx,1024
XP_006506436.2,Hnrnpa2b1,1025
NP_067299.2,Ttyh1,1026
NP_067467.2,Ap3b2,1027
NP_001001160.1,Fbxo41,1028
XP_006514078.1,NA,1029
XP_006529564.1,Relch,1030
NP_034944.2,Mog,1031
XP_006527017.1,Trpm3,1032
NP_001032371.1,Alpk2,1033
XP_006530277.1,Pitpnm2,1034
XP_006505075.1,Ptprz1,1035
XP_017172613.1,Ppm1f,1036
XP_006510505.1,Arhgap32,1037
NP_001278000.1; NP_032852.2; XP_006520664.1,Pfkp,1038
NP_032593.1,Mcm6,1039
NP_001074881.1,Bcr,1040
NP_001170795.1; XP_011247832.1; XP_006532697.1,Septin6,1041
NP_780660.1,Ckap4,1042
NP_001139437.1,Dlgap2,1043
NP_001028430.1,Arfgef3,1044
XP_006512640.1,Map7,1045
NP_033441.2,NA,1046
NP_058027.1,Dlg3,1047
NP_950186.3,Dpp10,1048
NP_077725.1; NP_058081.2,Stx1b,1049
XP_006501794.1,Ptbp2,1050
XP_006501076.1; NP_001106651.1; NP_001277380.1,NA,1051
XP_006511700.1; NP_034435.1,Gnai2,1052
XP_006529238.1,NA,1053
XP_011246830.1,NA,1054
XP_011248814.1,Arhgap35,1055
NP_694695.3,Sec63,1056
NP_035844.2,Baz1b,1057
NP_666355.1,Actr2,1058
XP_011246220.1,Dhx9,1059
XP_017171716.1,NA,1060
XP_011240715.1,Ncam1,1061
XP_006510036.1,Dnm2,1062
XP_006497712.2; XP_006497714.2; XP_006510036.1; NP_001033708.1,Dnm1,1063
NP_001263371.1,Acy1,1064
NP_067505.2; NP_001229307.1,Slc4a8,1065
XP_011237837.1,NA,1066
NP_001014761.1,Scn2b,1067
NP_033966.1,Cct3,1068
NP_001265004.1,Farsb,1069
NP_808332.3,Plppr4,1070
NP_001129541.2,Ldha,1071
XP_006501327.1,Arhgef11,1072
NP_851009.2,Gars,1073
NP_001171124.1,H2bc6,1074
NP_034435.1,Gnai1,1075
NP_780589.3,Gpd1l,1076
NP_032943.2,Ppt1,1077
NP_033473.1,Tuba4a,1078
NP_038714.2,Tcp1,1079
XP_006497961.1,Camsap1,1080
NP_776116.2,Ube2o,1081
NP_083804.3,Fam131b,1082
NP_038521.1,Cnbp,1083
NP_001074736.1,Rsf1,1084
XP_011244253.1,Kalrn,1085
NP_032436.1,Itm2b,1086
NP_001106659.1; NP_035944.2,Fxr1,1087
XP_006510497.1; XP_006510498.1,Opcml,1088
XP_006522264.1,NA,1089
XP_006510957.1,NA,1090
NP_035564.1,Sod1,1091
XP_011238598.1,Trim2,1092
NP_758487.2,Fcsk,1093
NP_031536.2,Atp6v1e1,1094
NP_663517.2,Ahcyl1,1095
NP_766366.2,Maob,1096
XP_006515183.1,Eipr1,1097
XP_006511315.1,Ccdc33,1098
NP_057891.1,Uba2,1099
NP_766420.1,Pcyox1l,1100
NP_808450.2,Prex1,1101
XP_011239898.1,NA,1102
NP_080283.3,Eef1g,1103
XP_006518993.1,Erc2,1104
XP_006539619.1,Hnrnpl,1105
XP_006499274.1,Tnks1bp1,1106
XP_011247336.1,NA,1107
NP_001104485.1,Syn2,1108
NP_084358.1; NP_001171124.1,H2bc27,1109
XP_011245733.1,Cask,1110
NP_034968.3,Mapt,1111
NP_038728.1,Usp5,1112
XP_006517598.1,NA,1113
NP_033477.2; NP_075768.1; NP_035785.1; NP_666228.1,Tubb4a,1114
XP_006520211.1,NA,1115
XP_017175463.1,NA,1116
NP_083429.1,Scamp1,1117
XP_006500829.2,Hspa4l,1118
XP_006518566.1,Clu,1119
NP_080468.1,Calcoco1,1120
XP_006509211.1,Hook3,1121
NP_071313.1,Sv2a,1122
NP_062729.1,Plp2,1123
XP_011245162.1,Pura,1124
XP_006541075.1,Sphk2,1125
NP_081495.1,Cdc42ep1,1126
NP_032986.1,Pten,1127
NP_032730.1,Nme1,1128
NP_573488.2,Acbd3,1129
NP_778163.1; NP_036168.1,Hpcal4,1130
NP_898837.2; XP_017175608.1,Cdc42bpb,1131
NP_038527.2,Cr1l,1132
NP_031505.1,Arf4,1133
NP_032854.2,Pgk1,1134
NP_080212.2,Rars,1135
NP_001318012.1; XP_006503732.1; XP_006503740.1,Add1,1136
NP_525024.1,Cttnbp2,1137
NP_032796.1,Cldn11,1138
NP_062273.2,Rabep1,1139
XP_006496493.1,Agfg1,1140
XP_011243797.1,Pcbp2,1141
NP_034537.2,Hck,1142
XP_006532388.1,Kif3a,1143
NP_063922.2,Rbm14,1144
XP_006508582.1,Shank2,1145
NP_080973.1,Rab14,1146
NP_033321.2,Stxbp1,1147
NP_001026981.2,Kcnh8,1148
NP_034538.2; NP_032252.1,Hcn1,1149
XP_011245862.1,NA,1150
XP_006502477.1,Wdr47,1151
NP_001129530.1; NP_031791.3; XP_006518571.1,Crmp1,1152
XP_006518882.1,NA,1153
XP_006514662.1; XP_006540499.1; XP_006531767.1,Sptbn1,1154
NP_067398.2,NA,1155
NP_033304.1,Ssb,1156
NP_081726.1,Glipr2,1157
NP_666219.1,Actr1b,1158
XP_006501815.2,NA,1159
NP_001272969.1; XP_006514364.1,Anks1,1160
NP_666109.2,Kdm5a,1161
XP_017170325.1,NA,1162
NP_001177733.1,Dnajb11,1163
XP_006503740.1,Add1,1164
NP_851415.1,Rab18,1165
NP_031479.1,Prdx6,1166
XP_006513620.1,NA,1167
XP_017173043.1,NA,1168
NP_056592.2,Igbp1b,1169
XP_017176885.1,NA,1170
XP_017175032.1,Dennd4b,1171
NP_083093.2,Acsl3,1172
NP_598925.1,Syt12,1173
XP_006522879.1,NA,1174
NP_080144.1,Tmx2,1175
XP_017169356.1; XP_006529385.1; XP_017169355.1; XP_006540252.1,Syt2,1176
XP_006506378.1,NA,1177
NP_034610.1; NP_032328.2,Hsp90aa1,1178
NP_076092.1; NP_075633.2,Sfpq,1179
XP_006499969.1,Slc23a2,1180
XP_006533928.1,Arhgap23,1181
NP_683734.2,Pom121,1182
NP_033476.1,Tubb2a,1183
NP_031724.2,Chrm1,1184
NP_032564.1,Marcks,1185
XP_006540378.1,Zfp329,1186
NP_077251.1,Osbpl5,1187
XP_006496425.1,NA,1188
NP_001028440.2,Fam120a,1189
NP_862897.1,Fgb,1190
NP_033212.1,Tra2b,1191
NP_001153355.1,Dnajb2,1192
NP_034418.1,Gja1,1193
NP_001165053.1,Mars1,1194
NP_001029051.2,Tubal3,1195
NP_035318.1,NA,1196
XP_006532333.2,Hgs,1197
NP_034158.1,Ddx3x,1198
NP_033037.2,Rad23b,1199
NP_001334161.1,Gsk3b,1200
NP_659175.1,Sez6l2,1201
XP_006496638.1,Sphkap,1202
XP_006495591.1,Stau2,1203
XP_006530815.1,Mt1,1204
NP_848803.3; XP_011243251.1,Ablim1,1205
NP_034901.2,Matr3,1206
NP_001164497.1,Os9,1207
NP_032660.2,Map1b,1208
XP_006515506.1,Ccnk,1209
XP_006496805.1,Tnr,1210
NP_033022.1; NP_083852.1,Rab1a,1211
NP_038700.2,Sp1,1212
NP_783592.1,H2ac10,1213
XP_006515597.1,NA,1214
XP_017168436.1,Babam1,1215
XP_006521998.1; XP_017175650.1,Eif4g1,1216
XP_017172884.1,Vars,1217
NP_033822.2,Apoa1,1218
XP_017170323.1; XP_006521906.1; NP_001258467.1,Myh10,1219
XP_006519600.1,NA,1220
XP_006514078.1; XP_011246340.1; XP_006528144.1,Atp2b4,1221
XP_006505885.1,Slc2a3,1222
NP_001106659.1,Fxr1,1223
XP_017168363.1,Unc13a,1224
NP_033476.1; NP_075768.1; NP_035785.1; NP_076205.1,Tubb2a,1225
NP_001156496.1,Mon2,1226
NP_001070734.1,Hnrnpd,1227
XP_017170260.1,NA,1228
XP_017173108.1; XP_017173116.1,NA,1229
NP_001106679.1,Ncam2,1230
NP_031782.3,Cplx1,1231
XP_006522653.1,Aifm3,1232
XP_017171911.1,Cntn1,1233
NP_766636.2,Gga3,1234
NP_001094977.1,Clec2l,1235
NP_001020546.1,Wdr61,1236
NP_001291713.1,Hdgfl2,1237
NP_076026.1,Rab3b,1238
XP_006521961.1,Usf3,1239
NP_033610.1,Dnajc2,1240
NP_079719.1,Pno1,1241
XP_006508904.2,NA,1242
NP_835585.3,H2ac21,1243
NP_001152964.1,Gpatch8,1244
NP_898837.2,Cdc42bpb,1245
NP_035231.2,Prkca,1246
NP_033174.2,Exoc4,1247
NP_001289435.1,NA,1248
NP_683740.1; XP_006513487.1,Slc1a3,1249
XP_017169355.1,NA,1250
XP_011239560.1,NA,1251
NP_705809.1,Gpm6a,1252
NP_064311.2,Arih1,1253
NP_598477.2,Smap2,1254
NP_666202.2,Zadh2,1255
XP_001473484.1,NA,1256
NP_034407.2,Gfap,1257
NP_783592.1; NP_034566.1; XP_017170325.1,H2ac10,1258
NP_001277228.1,Plppr2,1259
NP_031952.2,Aimp1,1260
XP_006530838.1,NA,1261
XP_011241590.1,Pip4k2c,1262
XP_006512995.1,NA,1263
NP_032939.1; NP_001280551.1,Ppp3ca,1264
NP_077185.1,Crip2,1265
XP_006516371.1,Ppp4r4,1266
XP_006507347.1,Coro1a,1267
NP_001075440.1,Ankrd63,1268
XP_006523047.1,Ttc3,1269
XP_006538560.1,Alpl,1270
XP_011244430.1,Cadm2,1271
NP_694818.3,Ago2,1272
NP_062625.2,Ptpn9,1273
XP_011236908.1,Zdbf2,1274
NP_543129.3,Slc17a6,1275
XP_006512188.1,Myrip,1276
NP_001303251.1,Ldhb,1277
XP_006518968.1,Pcdh17,1278
NP_033476.1; NP_076205.1; NP_080749.2,Tubb2a,1279
XP_006517013.1; XP_006513501.1,Diras2,1280
XP_011237883.1,Trp53bp1,1281
XP_011237615.1,Kcnh7,1282
XP_006524376.1,Caskin1,1283
NP_001192163.1; XP_011244620.1,Nrxn2,1284
XP_006498688.1,Ctnnd1,1285
NP_766145.1; NP_001276704.1,Rufy1,1286
XP_006535243.1,NA,1287
XP_006541123.1,NA,1288
XP_006510841.1,Anp32a,1289
NP_038493.1,Ahsg,1290
XP_006504989.1,Fry,1291
XP_006539284.1; NP_062640.2,Syncrip,1292
NP_084359.1,Naa38,1293
NP_065630.1,Jph3,1294
XP_006509607.1,Eps15l1,1295
XP_011240739.1,Smarca4,1296
NP_001074593.1,Map7d2,1297
XP_017177576.1,Syt3,1298
NP_001074648.1,Heatr5b,1299
NP_938085.1,Nsfl1c,1300
XP_006506982.1,Kras,1301
NP_001074586.2,Mki67,1302
XP_011240743.1,NA,1303
NP_598819.2,Pelo,1304
XP_006531804.1,Coro1b,1305
XP_006505433.1,Erc1,1306
NP_035927.1,Car14,1307
NP_082820.1,Rasip1,1308
XP_006531767.1,NA,1309
XP_006512061.1,NA,1310
XP_006505618.1,Gpr162,1311
NP_034249.1,Ehd1,1312
NP_001074848.2,Ankrd11,1313
XP_006495496.1,Atp6v1h,1314
NP_659097.2,Eppk1,1315
NP_079967.1,Srp72,1316
XP_006503745.1,NA,1317
NP_033859.1,Atp6v0c,1318
XP_006499441.1,Zmynd8,1319
XP_017172851.1,NA,1320
NP_075553.2,Asph,1321
XP_006525592.1,Apc,1322
NP_001272920.1,Tbc1d5,1323
XP_006499350.1,Smox,1324
XP_017167933.1,NA,1325
NP_775622.1,Nalf1,1326
XP_006519097.1,Zswim8,1327
XP_011239122.1,Ncor2,1328
NP_598490.1,Stk26,1329
XP_011243654.1,NA,1330
XP_006514524.1,NA,1331
NP_780358.3,2310022B05Rik,1332
NP_001171426.1,Gpm6b,1333
XP_006527179.1,Cpsf7,1334
XP_006537616.1,Rnf20,1335
NP_032877.1,Pitpnm1,1336
XP_017172050.1; XP_006499049.1,Sirpa,1337
XP_006497712.2; XP_006497714.2; XP_006510036.1,Dnm1,1338
XP_011245968.1,Apoo,1339
NP_598738.1,Trf,1340
XP_006516227.1,Rbm25,1341
XP_017169356.1; XP_006529385.1; XP_017169355.1,Syt2,1342
NP_001156336.1,Ttbk1,1343
NP_001303601.1; NP_032881.1; NP_035231.2,Prkcb,1344
NP_033476.1; NP_033477.2; NP_075768.1; NP_035785.1; NP_666228.1; NP_076205.1; NP_080749.2,Tubb2a,1345
NP_058025.2; XP_006507331.1; NP_001103610.1,Atp2a3,1346
XP_006526055.1,Bin1,1347
XP_006540841.1,Tjp1,1348
NP_033477.2; NP_075768.1; NP_666228.1; NP_080749.2,Tubb4a,1349
XP_006518136.1,Abhd6,1350
XP_006508028.1,NA,1351
NP_035868.1; NP_035869.1; NP_061359.2; XP_006499972.1,Ywhah,1352
NP_077243.2,Rrbp1,1353
NP_062284.1,Ppp2ca,1354
NP_032169.1,Rack1,1355
NP_659061.2,Tnrc6b,1356
NP_898972.1,Zfp598,1357
XP_006496891.1,Rgs7,1358
XP_006540636.1,Apba2,1359
XP_006498875.1,Kcna4,1360
NP_081703.1,Taf15,1361
NP_032950.1,Prkar2a,1362
NP_034236.2,Eef1a1,1363
NP_080073.1,Cyb5a,1364
XP_006499087.1,Rpn2,1365
XP_011243908.1,Ly6h,1366
XP_017175822.1,Srsf4,1367
NP_001277924.1,Kif1b,1368
NP_031694.1,Cdk5,1369
NP_035230.1,Prkacb,1370
NP_038691.1,Srsf3,1371
NP_031861.2,Dctn1,1372
XP_006523408.2,NA,1373
XP_006509268.1,Purg,1374
NP_001028571.1,Gfod1,1375
NP_941016.2,C2cd4c,1376
NP_062734.1,Serinc1,1377
NP_031447.1,Adssl1,1378
NP_631888.1; NP_081703.1,Fus,1379
XP_006522043.1,Tfg,1380
NP_080104.2,Lman2,1381
XP_017173043.1; NP_032755.2,Ctnnd2,1382
NP_034439.2,Gnas,1383
XP_011242291.1,Arhgap5,1384
NP_033475.1; NP_059075.1; NP_035783.1,Tuba3b,1385
XP_006500405.1,Ckap5,1386
XP_006532934.1,Arhgap44,1387
XP_006505934.1,Slc6a6,1388
XP_006514078.1; XP_011239469.1; XP_011246340.1; XP_011239463.1; XP_006528144.1,Atp2b2,1389
NP_035903.2,Slc30a3,1390
XP_006505566.1,NA,1391
XP_006527974.1,Flna,1392
XP_006515148.1; XP_011241171.1,Dock4,1393
NP_038505.2,Atp6v0d1,1394
XP_006516167.1,Ralgapa1,1395
NP_062283.1,Pfn2,1396
XP_011237573.1,NA,1397
NP_598785.1,Tubg1,1398
NP_062510.2,Htra1,1399
NP_080099.1,Pcyox1,1400
NP_035977.2,Dnajb6,1401
NP_035447.3,Khdrbs1,1402
XP_011241243.1,Pdcd6ip,1403
XP_006533659.1,Myo18a,1404
NP_032104.2,Gad2,1405
XP_006510268.1,NA,1406
XP_011247028.1,NA,1407
NP_081633.1,Psmd1,1408
XP_006495839.1,Pikfyve,1409
NP_032939.1,Ppp3ca,1410
NP_076401.1,Scyl1,1411
NP_076205.1,Tubb2b,1412
NP_033477.2; NP_035785.1; NP_666228.1,Tubb4a,1413
XP_006503082.1,Zmpste24,1414
NP_766520.2,Nlgn3,1415
XP_011245108.1,Napg,1416
XP_006518571.1,NA,1417
NP_061229.2,Zfp326,1418
NP_758514.2,Tarsl2,1419
XP_006540629.1,NA,1420
NP_033968.1,NA,1421
NP_064667.2,Pdxp,1422
NP_839987.2,Reps2,1423
XP_011240298.1; XP_011249214.1,Ppfia1,1424
NP_031664.3,Cct7,1425
NP_084514.2,Dync1h1,1426
NP_001074564.1,1700009N14Rik,1427
XP_006526667.1; NP_848743.1,Atl3,1428
NP_659507.3,Hip1r,1429
XP_006538298.1,Trim32,1430
NP_001276704.1,Rufy3,1431
NP_001041526.1,Hnrnpab,1432
XP_006530250.1,NA,1433
XP_006526055.1; XP_006526058.1,Bin1,1434
XP_006510036.1; NP_001033708.1,Dnm2,1435
NP_758465.2,Ppp1r9b,1436
NP_065603.2,Ehd3,1437
XP_006540792.1; NP_001239388.1,Cyfip1,1438
XP_006499076.1,Raly,1439
NP_038528.3,Hapln1,1440
XP_011241069.1,Mapk6,1441
NP_780728.3,Kctd8,1442
XP_006506879.1,Sfxn5,1443
XP_006526055.1; XP_006526058.1; NP_001276475.1,Bin1,1444
NP_035449.1,Sars,1445
XP_006529062.1,NA,1446
XP_011241592.1,NA,1447
NP_001157990.1,Iglon5,1448
XP_006538405.1,Slc24a2,1449
NP_766616.2,Vps13a,1450
XP_006538588.2,NA,1451
NP_032274.1,Hint1,1452
NP_034967.2,Map6,1453
NP_031482.1,Ap1m1,1454
XP_006530470.1; NP_034120.2,Clip1,1455
NP_031557.2,Phb2,1456
NP_666341.1,Dync1li1,1457
XP_006501136.1,Lmna,1458
NP_001158055.1,Dnajc6,1459
XP_006500948.1,NA,1460
XP_006503732.1,Add1,1461
NP_035078.1,Nudc,1462
NP_001170795.1,Septin6,1463
XP_006524231.1,Dlgap1,1464
NP_058062.2,Cntnap1,1465
NP_033809.1,Ap2m1,1466
XP_006506046.1,Iqsec1,1467
NP_075779.2,Mkrn2,1468
XP_006496765.1,Pea15a,1469
XP_017171744.1,Gm2959,1470
NP_001280575.1,Pip5k1c,1471
NP_061359.2; XP_006499972.1,Ywhag,1472
XP_006534114.1,Rpa1,1473
XP_006506046.1; XP_006528905.1,Iqsec1,1474
NP_031507.1,Arf6,1475
NP_031436.2,Adh5,1476
XP_017173116.1,NA,1477
XP_006532697.1,NA,1478
XP_011245756.1,Usp9x,1479
NP_033127.1,Rras,1480
NP_001092768.1; XP_006499090.1,Scn2a,1481
XP_017176112.1,Atp8a1,1482
XP_006518654.1,Kcnma1,1483
XP_006509361.1,Pcm1,1484
NP_001116292.1,Ap3m2,1485
NP_035868.1,Ywhah,1486
NP_775619.2,Vcpip1,1487
NP_001304314.1,Prdx2,1488
NP_001272781.1,Sgip1,1489
NP_034288.2,Khdrbs3,1490
NP_001182350.1,H4c17,1491
NP_058587.1,Ppp2r1a,1492
NP_062623.2,Clptm1,1493
NP_064674.1,Lgi1,1494
NP_032099.1,Gabrg2,1495
NP_613066.2,Aldh7a1,1496
XP_011244111.1,NA,1497
XP_006502856.1,Elavl4,1498
NP_067497.2,Usp14,1499
NP_598550.2,Strn4,1500
NP_001012783.3,Adcy5,1501
NP_803126.1; NP_001333564.1,Camk2a,1502
XP_011239436.1,Braf,1503
NP_033924.2,Capn2,1504
NP_775550.2,Srsf1,1505
NP_951062.1; NP_034158.1; XP_006532198.1,Ddx17,1506
NP_059070.1; NP_062284.1,Ppp2cb,1507
NP_036120.1,Slc7a11,1508
XP_006500266.1,Zfyve19,1509
XP_006510101.1,NA,1510
NP_065603.2; NP_034249.1,Ehd3,1511
XP_006526377.1,Arhgap12,1512
XP_017171083.1,NA,1513
NP_080355.2,Elp1,1514
XP_006512769.1; XP_006527830.1,Utrn,1515
XP_017167703.1,NA,1516
XP_006529137.1,NA,1517
XP_006509627.1,Atp13a1,1518
XP_006521324.2,Eef1d,1519
NP_001186013.1,Wnk1,1520
XP_006532404.1,Lasp1,1521
XP_006515148.1,Dock4,1522
XP_006517078.1,NA,1523
NP_839990.2,Abca13,1524
XP_017169728.1,Camk2b,1525
NP_808419.1,Cnksr2,1526
NP_659190.3,Map7d1,1527
NP_001192298.1,Golm2,1528
XP_006523666.1; XP_006523669.1; XP_006512569.1,Epb41l2,1529
XP_006501773.1,Ankrd34a,1530
NP_058056.2,Mybbp1a,1531
XP_006522692.1,NA,1532
NP_766478.1,Slc6a11,1533
NP_705736.1,Bcl2l13,1534
XP_006510022.1,Hyou1,1535
NP_758459.2,Wdr11,1536
